parameter,state,target,P(低)_base,P(低)_test,ΔP(低),P(中)_base,P(中)_test,ΔP(中),P(高)_base,P(高)_test,ΔP(高),avg_|ΔP|
汇流面积,小,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
汇流面积,小,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
植被覆盖,好,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
植被覆盖,好,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
节理发育程度,很发育,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
节理发育程度,很发育,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
距断层距离,远,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
距断层距离,远,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
距断层距离,远,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
距断层距离,近,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
距断层距离,近,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
距断层距离,近,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
地震烈度,无,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
地震烈度,无,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
地震烈度,无,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
地震烈度,弱,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
地震烈度,弱,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
地震烈度,弱,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
地震烈度,强,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
地震烈度,强,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
地震烈度,强,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
风化程度,弱,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
植被覆盖,好,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
植被覆盖,差,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
植被覆盖,差,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
植被覆盖,差,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
土壤渗透性,好,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
土壤渗透性,好,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
土壤渗透性,好,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
土壤渗透性,差,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
土壤渗透性,差,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
土壤渗透性,差,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
岩性,坚硬,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
