ORIG_FID,Flood_Sum,Aspect_Mea,Dem_Mean,Dem_Std,Slope_Mean,Impervious,WaterBody_,WorldPop_M,evp2021,pre2021,prs2021,rhu2021,Light_N,HenanPr,rain0715,rain0716,rain0717,rain0718,rain0719,rain0720,rain0721,rain0722,rain0723,rain0724,rain0725,Join_Count,FloodArea,Label,newLabel
29859,0,240.2149963,477.9830017,56.1239014,25.4797993,0,0,0,1191.380005,1129.280029,965.434021,61.3367996,0.595801,109.0169983,0,0,0,0,60.6147003,109.0169983,46.6374016,0,0,0,0,0,#N/A,,
29860,22,35.6049995,98.6277008,0.49338,0.157485,0,2400,0,1355.650024,1345.349976,1003.330017,60.3763008,0.615487,88.7343979,0,0,0,29.5781002,98.1278,88.7343979,50.3372002,0,0,0,0,0,#N/A,,
29861,6,111.5599976,99.8830032,0.516063,0.209074,0,2105,0,1356.310059,1343.160034,1003.380005,60.3941994,0.614357,88.9057007,0,0,0,29.6352005,97.5811005,88.9057007,50.3837013,0,0,0,0,0,#N/A,,
29862,78,132.6580048,100.0250015,0.233544,0.100469,0,2401,0.56444,1356.939941,1341.050049,1003.409973,60.4123993,0.608104,89.0770035,0,0,0,29.6923008,97.0344009,89.0770035,50.4301987,0,0,0,0,0,#N/A,,
29863,571,143.6159973,99.6043015,0.759627,0.280663,0,471,3.20665,1357.569946,1338.939941,1003.429993,60.4306984,0.605435,89.2482986,0,0,0,29.7493992,96.4877014,89.2482986,50.4766998,0,0,0,0,0,#N/A,,
29864,425,67.8469009,99.1762009,0.974879,0.267041,0,0,0.636717,1358.150024,1336.949951,1003.409973,60.449501,0.60741,89.4195023,0,0,0,29.8064995,95.9410019,89.4195023,50.523201,0,0,0,0,0,#N/A,,
29865,794,101.6569977,98.9886017,1.1768,0.411558,0,0,3.7927699,1358.73999,1334.939941,1003.400024,60.4679985,0.61387,89.5907974,0,0,0,29.8635998,95.3944016,89.5907974,50.5696983,0,0,0,0,0,#N/A,,
29866,147,132.8600006,179.8410034,6.6223898,4.4380498,570,0,4.6015902,1343.530029,1376.439941,996.7719727,60.4397011,1.03398,92.2955017,0,0,0,30.7651997,95.1970978,92.2955017,50.1236992,0,0,0,0,0,#N/A,,
29867,1055,158.5769958,162.6069946,24.6718998,17.1212006,19,0,0.823331,1343.530029,1375.609985,996.210022,60.4822998,0.888852,91.7817993,0,0,0,30.5939007,95.6651001,91.7817993,50.148201,0,0,0,0,0,#N/A,,
29868,829,215.5740051,121.7870026,26.1816006,10.7334995,0,573,1.29415,1348.109985,1365.599976,999.8060303,60.3759003,0.76051,91.2679977,0,0,0,30.4227009,96.1330032,91.2679977,50.1725998,0,0,0,0,0,#N/A,,
